Skeleton 0
    -219.755      368.256      2145.01
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     320.781      265.526      2284.56
     507.608      155.184      2348.98
     0.00000      0.00000      0.00000
     558.073      325.111      2145.59
     0.00000      0.00000      0.00000
     37.2205     -98.1184      2478.76
     63.0851     -499.944      2634.45
     0.00000      0.00000      0.00000
     57.4390     -851.262      2738.36
     235.872     -113.864      2479.79
     270.948     -517.547      2628.84
     0.00000      0.00000      0.00000
     283.895     -857.189      2746.44
Skeleton 0
     0.00000      0.00000 2.12278e-314
     184.272      463.953      2188.63
     166.464      277.934      2283.88
     150.487      85.5851      2380.56
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     13.6744      290.317      2283.27
    -202.115      178.209      2348.72
     0.00000      0.00000      0.00000
    -222.422      364.767      2145.52
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     319.253      265.550      2284.49
     506.303      156.092      2349.49
     0.00000      0.00000      0.00000
     557.357      324.921      2145.79
     0.00000      0.00000      0.00000
     35.1983     -98.7142      2476.83
     61.3080     -499.245      2635.83
     0.00000      0.00000      0.00000
     57.8813     -848.584      2738.40
     233.823     -114.813      2477.63
     270.013     -517.007      2630.36
     0.00000      0.00000      0.00000
     283.585     -857.855      2749.33
Skeleton 0
     0.00000      0.00000 2.12278e-314
     184.741      464.435      2189.44
     165.579      278.216      2284.14
     148.304      85.8152      2380.50
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     12.8778      291.606      2283.50
    -203.058      177.606      2347.86
     0.00000      0.00000      0.00000
    -223.204      363.070      2146.08
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     318.280      264.826      2284.78
     505.651      156.547      2350.75
     0.00000      0.00000      0.00000
     552.146      325.853      2146.29
     0.00000      0.00000      0.00000
     31.7722     -97.8819      2476.44
     58.8137     -498.857      2634.21
     0.00000      0.00000      0.00000
     57.5267     -851.162      2742.77
     230.286     -115.289      2477.27
     267.596     -518.637      2626.66
     0.00000      0.00000      0.00000
     280.282     -855.929      2750.89
Skeleton 0
     0.00000      0.00000 2.12278e-314
     182.565      464.689      2191.84
     163.952      278.334      2284.49
     146.816      85.6319      2380.27
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     11.2441      291.679      2284.01
    -202.029      175.303      2346.43
     0.00000      0.00000      0.00000
    -223.871      362.504      2145.94
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
     316.659      264.990      2284.96
     505.825      156.273      2351.87
     0.00000      0.00000      0.00000
     549.040      324.052      2145.96
     0.00000      0.00000      0.00000
     30.4224     -98.3967      2475.75
     60.0171     -498.958      2634.13
     0.00000      0.00000      0.00000
     56.6252     -849.513      2739.40
     228.939     -115.744      2476.37
     270.572     -518.202      2626.98
     0.00000      0.00000      0.00000
     282.064     -855.183      2748.72
Skeleton 0
     0.00000      0.00000 2.12278e-314
     181.473      464.875      2190.54
     162.666      278.038      2283.86
     145.478      85.2723      2379.52
     0.00000      0.00000      0.00000
     0.00000      0.00000      0.00000
